Табуляція F(x) = x^3 - 3x + 1
Відрізок [-3.0, 3.0], крок h = 0.1
--------------------------------
         x              F(x)
--------------------------------
   -3.0000      -17.00000000
   -2.9000      -14.68900000
   -2.8000      -12.55200000
   -2.7000      -10.58300000
   -2.6000       -8.77600000
   -2.5000       -7.12500000
   -2.4000       -5.62400000
   -2.3000       -4.26700000
   -2.2000       -3.04800000
   -2.1000       -1.96100000
   -2.0000       -1.00000000
   -1.9000       -0.15900000
   -1.8000        0.56800000
   -1.7000        1.18700000
   -1.6000        1.70400000
   -1.5000        2.12500000
   -1.4000        2.45600000
   -1.3000        2.70300000
   -1.2000        2.87200000
   -1.1000        2.96900000
   -1.0000        3.00000000
   -0.9000        2.97100000
   -0.8000        2.88800000
   -0.7000        2.75700000
   -0.6000        2.58400000
   -0.5000        2.37500000
   -0.4000        2.13600000
   -0.3000        1.87300000
   -0.2000        1.59200000
   -0.1000        1.29900000
    0.0000        1.00000000
    0.1000        0.70100000
    0.2000        0.40800000
    0.3000        0.12700000
    0.4000       -0.13600000
    0.5000       -0.37500000
    0.6000       -0.58400000
    0.7000       -0.75700000
    0.8000       -0.88800000
    0.9000       -0.97100000
    1.0000       -1.00000000
    1.1000       -0.96900000
    1.2000       -0.87200000
    1.3000       -0.70300000
    1.4000       -0.45600000
    1.5000       -0.12500000
    1.6000        0.29600000
    1.7000        0.81300000
    1.8000        1.43200000
    1.9000        2.15900000
    2.0000        3.00000000
    2.1000        3.96100000
    2.2000        5.04800000
    2.3000        6.26700000
    2.4000        7.62400000
    2.5000        9.12500000
    2.6000       10.77600000
    2.7000       12.58300000
    2.8000       14.55200000
    2.9000       16.68900000
    3.0000       19.00000000
